track_id,enter_ts,exit_ts,dwell_seconds,enter_iso,exit_iso
235,1780327503.35702,1780327503.465819,0.11,2026-06-01T15:25:03+00:00,2026-06-01T15:25:03+00:00
238,1780327503.491549,1780327513.608843,10.12,2026-06-01T15:25:03+00:00,2026-06-01T15:25:13+00:00
242,1780327507.519517,1780327508.5468748,1.03,2026-06-01T15:25:07+00:00,2026-06-01T15:25:08+00:00
243,1780327507.6343522,1780327508.260629,0.63,2026-06-01T15:25:07+00:00,2026-06-01T15:25:08+00:00
198,1780327507.87215,1780327507.87215,0.0,2026-06-01T15:25:07+00:00,2026-06-01T15:25:07+00:00
244,1780327508.08079,1780327518.738003,10.66,2026-06-01T15:25:08+00:00,2026-06-01T15:25:18+00:00
246,1780327508.1577642,1780327528.3006148,20.14,2026-06-01T15:25:08+00:00,2026-06-01T15:25:28+00:00
247,1780327508.260629,1780327512.8006861,4.54,2026-06-01T15:25:08+00:00,2026-06-01T15:25:12+00:00
248,1780327508.494693,1780327508.651349,0.16,2026-06-01T15:25:08+00:00,2026-06-01T15:25:08+00:00
250,1780327512.666534,1780327513.5534039,0.89,2026-06-01T15:25:12+00:00,2026-06-01T15:25:13+00:00
242,1780327512.989681,1780327513.608843,0.62,2026-06-01T15:25:12+00:00,2026-06-01T15:25:13+00:00
256,1780327513.363917,1780327513.363917,0.0,2026-06-01T15:25:13+00:00,2026-06-01T15:25:13+00:00
257,1780327513.5008159,1780327517.719559,4.22,2026-06-01T15:25:13+00:00,2026-06-01T15:25:17+00:00
258,1780327513.52762,1780327518.551,5.02,2026-06-01T15:25:13+00:00,2026-06-01T15:25:18+00:00
261,1780327513.58048,1780327528.037236,14.46,2026-06-01T15:25:13+00:00,2026-06-01T15:25:28+00:00
262,1780327513.608843,1780327523.71718,10.11,2026-06-01T15:25:13+00:00,2026-06-01T15:25:23+00:00
238,1780327517.746652,1780327517.746652,0.0,2026-06-01T15:25:17+00:00,2026-06-01T15:25:17+00:00
267,1780327517.826391,1780327533.176556,15.35,2026-06-01T15:25:17+00:00,2026-06-01T15:25:33+00:00
266,1780327517.826391,1780327544.321574,26.5,2026-06-01T15:25:17+00:00,2026-06-01T15:25:44+00:00
242,1780327517.879154,1780327528.247065,10.37,2026-06-01T15:25:17+00:00,2026-06-01T15:25:28+00:00
268,1780327517.959371,1780327517.959371,0.0,2026-06-01T15:25:17+00:00,2026-06-01T15:25:17+00:00
269,1780327517.959371,1780327518.385549,0.43,2026-06-01T15:25:17+00:00,2026-06-01T15:25:18+00:00
270,1780327518.385549,1780327528.8630788,10.48,2026-06-01T15:25:18+00:00,2026-06-01T15:25:28+00:00
271,1780327518.573575,1780327518.6202729,0.05,2026-06-01T15:25:18+00:00,2026-06-01T15:25:18+00:00
274,1780327523.047572,1780327523.743403,0.7,2026-06-01T15:25:23+00:00,2026-06-01T15:25:23+00:00
275,1780327523.102943,1780327523.814187,0.71,2026-06-01T15:25:23+00:00,2026-06-01T15:25:23+00:00
276,1780327523.3158588,1780327523.3158588,0.0,2026-06-01T15:25:23+00:00,2026-06-01T15:25:23+00:00
